Proporsi penghapusan,Random Forest,Accuracy SISA,Accuracy DaRE,Time Base,Time SISA,Time DaRE,Accuracy Base
0.0093,,0.9583333333333334,0.9444444444444444,0.03481340408325195,0.03535723686218262,0.0,0.9444444444444444
0.0185,,0.8194444444444444,0.9444444444444444,0.03512883186340332,0.07236695289611816,0.01393580436706543,0.9583333333333334
0.0278,,0.8611111111111112,0.9444444444444444,0.04175710678100586,0.07674431800842285,0.004456758499145508,0.9583333333333334
0.037,,0.8472222222222222,0.9583333333333334,0.041739463806152344,0.06948518753051758,0.013515710830688477,0.9583333333333334
0.0463,,0.8194444444444444,0.9305555555555556,0.0350649356842041,0.11589789390563965,0.006832599639892578,0.9583333333333334
0.0556,,0.8194444444444444,0.9583333333333334,0.0345304012298584,0.10450983047485352,0.006816387176513672,0.9583333333333334
0.0648,,0.9444444444444444,0.9305555555555556,0.03470921516418457,0.1460573673248291,0.007139682769775391,0.9583333333333334
0.0741,,0.9444444444444444,0.9305555555555556,0.04166388511657715,0.14589643478393555,0.006934642791748047,0.9583333333333334
0.0833,,0.9444444444444444,0.9305555555555556,0.04434037208557129,0.13854122161865234,0.0074100494384765625,0.9583333333333334
0.0926,,0.9444444444444444,0.9444444444444444,0.03895211219787598,0.15304064750671387,0.0073435306549072266,0.9583333333333334
0.1019,,0.9444444444444444,0.9305555555555556,0.04198503494262695,0.1502699851989746,0.006803750991821289,0.9583333333333334
0.1111,,0.9444444444444444,0.9305555555555556,0.041468143463134766,0.15248918533325195,0.006036281585693359,0.9583333333333334
0.1204,,0.9444444444444444,0.9444444444444444,0.03529167175292969,0.15268325805664062,0.011800289154052734,0.9583333333333334
0.1296,,0.9444444444444444,0.9305555555555556,0.04150700569152832,0.14358210563659668,0.006833791732788086,0.9583333333333334
0.1389,,0.9444444444444444,0.9583333333333334,0.04121875762939453,0.14810919761657715,0.006479978561401367,0.9722222222222222
0.1481,,0.9444444444444444,0.9583333333333334,0.03519630432128906,0.1403968334197998,0.004857540130615234,0.9444444444444444
0.1574,,0.9444444444444444,0.9305555555555556,0.04180479049682617,0.1631462574005127,0.018220901489257812,0.9444444444444444
0.1667,,0.9722222222222222,0.9305555555555556,0.041791439056396484,0.15014243125915527,0.007083892822265625,0.9583333333333334
0.1759,,0.875,0.9305555555555556,0.04317927360534668,0.1474776268005371,0.01190185546875,0.9583333333333334
0.1852,,0.875,0.9444444444444444,0.03966355323791504,0.14631056785583496,0.0080108642578125,0.9444444444444444
0.1944,,0.8333333333333334,0.9305555555555556,0.035573720932006836,0.1337430477142334,0.011791706085205078,0.9583333333333334
0.2037,,0.8333333333333334,0.9305555555555556,0.03912615776062012,0.1426553726196289,0.008465051651000977,0.9305555555555556
0.213,,0.8333333333333334,0.9444444444444444,0.042027950286865234,0.13885259628295898,0.006846189498901367,0.9305555555555556
0.2222,,0.7777777777777778,0.9305555555555556,0.039887189865112305,0.14940094947814941,0.0057582855224609375,0.9305555555555556
0.2315,,0.7777777777777778,0.9444444444444444,0.03840303421020508,0.14097189903259277,0.006838798522949219,0.9305555555555556
0.2407,,0.7777777777777778,0.9305555555555556,0.038487911224365234,0.14353203773498535,0.005077838897705078,0.9444444444444444
0.25,,0.875,0.9305555555555556,0.04146313667297363,0.15240263938903809,0.0,0.9444444444444444
0.2593,,0.875,0.9583333333333334,0.0399019718170166,0.13194704055786133,0.0,0.9166666666666666
0.2685,,0.875,0.9444444444444444,0.041105031967163086,0.12410187721252441,0.0,0.9583333333333334
0.2778,,0.875,0.9444444444444444,0.04871964454650879,0.1336500644683838,0.012248516082763672,0.9583333333333334
0.287,,0.875,0.9583333333333334,0.04429483413696289,0.12998199462890625,0.0,0.9583333333333334
0.2963,,0.875,0.9583333333333334,0.022824525833129883,0.12162923812866211,0.003889799118041992,0.8611111111111112
0.3056,,0.875,0.9305555555555556,0.0335688591003418,0.141571044921875,0.0,0.9027777777777778
0.3148,,0.875,0.9305555555555556,0.030993223190307617,0.1384444236755371,0.0,0.9027777777777778
0.3241,,0.875,0.9305555555555556,0.03613877296447754,0.12677979469299316,0.015735387802124023,0.9027777777777778
0.3333,,0.9027777777777778,0.9305555555555556,0.037842750549316406,0.13273978233337402,0.0,0.875
0.3426,,0.9027777777777778,0.9305555555555556,0.04137086868286133,0.13554096221923828,0.0,0.875
0.3519,,0.9027777777777778,0.9444444444444444,0.04014158248901367,0.11800980567932129,0.0,0.9027777777777778
0.3611,,0.875,0.9305555555555556,0.025044679641723633,0.13717436790466309,0.010015726089477539,0.8888888888888888
0.3704,,0.875,0.9305555555555556,0.04873967170715332,0.12994790077209473,0.0,0.8888888888888888
0.3796,,0.875,0.9444444444444444,0.021650075912475586,0.12211298942565918,0.008919239044189453,0.9027777777777778
0.3889,,0.875,0.9444444444444444,0.033802032470703125,0.1314692497253418,0.015749454498291016,0.8611111111111112
0.3981,,0.875,0.9305555555555556,0.03478813171386719,0.12678909301757812,0.007187604904174805,0.8611111111111112
0.4074,,0.8055555555555556,0.9305555555555556,0.02922368049621582,0.14451289176940918,0.014184236526489258,0.8888888888888888
0.4167,,0.8055555555555556,0.9583333333333334,0.03804206848144531,0.13113808631896973,0.00616002082824707,0.8888888888888888
0.4259,,0.8055555555555556,0.9583333333333334,0.03857612609863281,0.12582707405090332,0.013008356094360352,0.8888888888888888
0.4352,,0.8055555555555556,0.9583333333333334,0.045499324798583984,0.12833285331726074,0.014505863189697266,0.8888888888888888
0.4444,,0.8055555555555556,0.9444444444444444,0.03830552101135254,0.12642145156860352,0.0004570484161376953,0.9305555555555556
0.4537,,0.7361111111111112,0.9305555555555556,0.03584694862365723,0.13033413887023926,0.0067596435546875,0.9444444444444444
0.463,,0.7361111111111112,0.9444444444444444,0.026233434677124023,0.13696718215942383,0.0037920475006103516,0.9583333333333334
0.4722,,0.5416666666666666,0.9305555555555556,0.048189401626586914,0.1323833465576172,0.0,0.9444444444444444
0.4815,,0.5416666666666666,0.9305555555555556,0.0354006290435791,0.1258547306060791,0.00689244270324707,0.9444444444444444
0.4907,,0.5416666666666666,0.9305555555555556,0.03629779815673828,0.13466739654541016,0.0074307918548583984,0.9305555555555556
0.5,,0.5416666666666666,0.9305555555555556,0.03670096397399902,0.1139681339263916,0.0,0.9583333333333334
